word,number
欣興,124
家數,124
增溫,124
發酵,124
二線,124
陳泰銘,123
守穩,123
大江,123
進,123
NT,122
填息,122
選擇,122
政治,122
加速,122
研究,122
決議,122
金控,122
動作,122
收益,122
獲得,122
泥,121
晶,121
光頡,121
發文,121
終止,121
攀升,121
計算,121
終端,121
套牢,121
搭配,121
止穩,121
發布,121
重回,121
權證,121
說明,121
旺,121
能源,120
中鴻,120
日系,120
分類,120
情勢,120
占比,120
潮,119
年減,119
大於,119
年度,119
陷入,119
收低,119
宇博,118
持有,118
雙雙,118
台新金,118
油電,118
香港,118
群,117
要求,117
進口,117
事件,117
下降,117
Apple,117
暫停,117
醫療,117
陸,117
漢磊,116
先進光,116
電池,116
正文,116
下修,116
新光鋼,115
韓國,115
將會,115
暢旺,115
沉重,115
採取,115
結束,115
原油,115
原本,115
最佳,115
整合,115
執行,114
部分,114
風電,114
財務,114
達克,114
那斯,114
成分股,114
高於,114
廣達,114
緊張,114
不易,114
瀚,113
國,113
措施,113
兩大,113
牽動,113
顯現,113
最為,113
上季,113
情緒,113
仁寶,113
生技股,113
轉換,112
兩個,112
特斯拉,112
MSCI,112
階段,112
長黑,112
帶量,112
買權,111
單位,111
飆漲,111
將有,111
本季,111
Q4,111
量產,111
代工廠,110
減,110
下周,110
京元電,110
保護,110
準備,110
隨即,110
國家,110
日起,110
乖離,110
恢復,110
偏弱,110
提前,110
收跌,109
茂,109
九豪,109
運算,109
股權,109
一定,109
反攻,109
現象,109
勁揚,109
摜破,109
英特爾,109
蜜望實,108
亮燈,108
衝上,108
尼克森,108
揚明光,108
外銷,108
有利於,108
電器,108
至少,108
重,108
間,108
均量,108
udn,107
高峰,107
今早,106
台燿,106
電源,106
達成,106
份,106
綠能,106
轉型,106
費城,105
生效,105
高價,105
支出,105
義隆,105
趨緩,105
近年,105
排除,105
股稅,104
新高價,104
評等,104
成長率,104
通路,104
陳,103
持平,103
危機,103
採購,103
P,103
希望,103
辦理,103
弱勢股,103
產線,103
投入,103
反轉,102
億顆,102
新增,102
下游,102
虧損,102
第三,102
型態,102
本週,102
裝置,102
壓回,102
車廠,102
環,101
賣權,101
尺寸,101
高速,101
事項,101
奈米,101
華南金,101
兩,101
使用,101
青睞,101
預料,101
狹幅,101
度,101
製作所,100
消費性,100
解決,100
辨識,100
智,100
再次,100
台新,100
週轉率,99
NASDAQ,99
午盤,99
兆,99
經濟日報,99
產品線,99
市況,99
合約,99
先進,99
周三,99
證期,99
紅,99
萎縮,99
型,99
無線,99
適用,99
認證,98
story,98
兩年,98
普通股,98
儒鴻,98
台系,98
力成,98
公佈,98
意願,98
普思,97
利益,97
空,97
標準,97
擴增,97
決定,97
鋁質,97
電纜,97
特別,97
華為,97
理財,97
歐盟,97
概念,97
容易,97
F,97
功率,96
大量,96
審慎,96
含,96
大戶,96
多數,96
過度,96
連帶,96
麗豐,96
英國,96
條件,96
OTC,96
矽創,96
擬,96
佳凌,95
友,95
天價,95
循環,95
規劃,95
說明會,95
了結,95
升值,95
不到,95
銀,95
短多,95
緩步,95
增長,95
華碩,95
殺,94
跟進,94
配息,94
較強,94
下影線,94
加劇,94
不確定性,94
力挺,94
協商,93
原,93
精密,93
增資,93
較佳,93
有所,93
遊戲,93
事實,93
彩晶,93
健康,93
六十個,92
調升,92
車載,92
水位,92
繳出,92
祥碩,92
化學,92
面對,92
零件,92
爆量,92
濃厚,92
玻璃,92
雙雄,91
十大,91
聯茂,91
覺得,91
預測,91
規範,91
董事,91
產值,91
逐季,91
升級,91
http,91
年來,91
美光,91
完全,91
觸及,91
宏捷科,91
杰力,90
依然,90
不含,90
封測,90
光學股,90
高度,90
燃氣,90
緯創,90
避險,90
Yahoo,90
協理,90
廖哲宏,90
符合,90
海外,90
評價,90
鼎,89
立敦,89
上海,89
盤堅,89
總,89
同月,89
主因,89
達到,89
S,89
規定,89
回流,89
D,89
元富,88
處理器,88
認列,88
季報,88
東聯,88
回歸,88
華晶科,88
華夏,88
大聯大,88
光寶科,88
心態,88
CMoney,88
空頭,88
東,87
清單,87
有價證券,87
中租,87
資券,87
簡伯,87
電信,87
改善,87
能見度,87
最多,87
NB,87
落在,87
擔心,87
追高,87
推動,87
週,87
自行車,87
地區,87
架構,87
周線,87
錸,86
◎,86
上緯,86
NA,86
改寫,86
A50,86
證交所,86
擴充,86
採用,86
進駐,86
進出,86
奇摩,86
無力,86
撼訊,85
富鼎,85
南,85
中興,85
康普,85
供,85
暗示,85
若能,85
上方,85
基礎,85
這波,85
數字,85
出刊,85
正面,85
搶,85
明,85
方案,85
亞馬遜,85
海,84
電解,84
顯著,84
業界,84
議題,84
速度,84
駕駛,84
利基型,84
imgur,84
安全,84
底,84
淨值,84
仍以,84
光磊,83
高鐵,83
重啟,83
半年,83
兆元,83
參與,83
下午,83
扮演,83
走升,83
須,83
上證,83
避免,83
智易,83
雙,82
處分,82
偏向,82
第四,82
最低,82
率先,82
佐登,82
系列,82
